name,ttl,type,value
"floraameenah-nighties.com","3600","NETLIFY","grand-jalebi-e77ccb.netlify.app"
"floraameenah-nighties.com","3600","NETLIFYv6","grand-jalebi-e77ccb.netlify.app"
"www.floraameenah-nighties.com","3600","NETLIFY","grand-jalebi-e77ccb.netlify.app"
"www.floraameenah-nighties.com","3600","NETLIFYv6","grand-jalebi-e77ccb.netlify.app"
